Index,Section,Commodity,value
63,XI,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",4674.39
56,XI,KNITTED OR CROCHETED FABRICS.,4199.85
62,XI,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,4124.87
55,XI,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",3119.81
64,XI,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",1972.54
61,XI,SILK,1638.36
65,XII,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",29661.52
67,XII,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,3568.38
66,XII,HEADGEAR AND PARTS THEREOF.,565.15
68,XII,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",48.39
69,XIII,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",17417.62
70,XIII,CERAMIC PRODUCTS.,13793.37
71,XIII,GLASS AND GLASSWARE.,8630.18
72,XIV,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",484859.9
73,XIX,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,1244.95
77,XV,IRON AND STEEL,120904.29
75,XV,ARTICLES OF IRON OR STEEL,84097.54
74,XV,ALUMINIUM AND ARTICLES THEREOF.,46875.96
76,XV,COPPER AND ARTICLES THEREOF.,29060.09
83,XV,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",10185.53
84,XV,ZINC AND ARTICLES THEREOF.,7977.3
79,XV,MISCELLANEOUS ARTICLES OF BASE METAL.,6803.37
78,XV,LEAD AND ARTICLES THEREOF.,3267.98
80,XV,NICKEL AND ARTICLES THEREOF.,2871.75
81,XV,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,726.36
82,XV,TIN AND ARTICLES THEREOF.,276.79
86,XVI,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",189003.07
85,XVI,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",139396.39
90,XVII,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",174616.34
89,XVII,"SHIPS, BOATS AND FLOATING STRUCTURES.",55810.69
87,XVII,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",31952.56
88,XVII,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",2709.16
93,XVIII,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",31906.89
91,XVIII,CLOCKS AND WATCHES AND PARTS THEREOF.,1001.7
92,XVIII,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,241.36
94,XX,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",17503.93
95,XX,MISCELLANEOUS MANUFACTURED ARTICLES.,6295
96,XX,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",3796.43
97,XXI,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,2179.16
